"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2002-02-28",1564.59,1564.59,1564.59,1564.59,1564.59,0,0,1
"2002-03-01",1600.02,1600.02,1600.02,1600.02,1600.02,0,0,1
"2002-03-04",1631.25,1631.25,1631.25,1631.25,1631.25,0,0,1
"2002-03-05",1620.37,1620.37,1620.37,1620.37,1620.37,0,0,1
"2002-03-06",1644.2,1644.2,1644.2,1644.2,1644.2,0,0,1
"2002-03-07",1636.86,1636.86,1636.86,1636.86,1636.86,0,0,1
"2002-03-08",1646.4399,1646.4399,1646.4399,1646.4399,1646.4399,0,0,1
"2002-03-11",1652.04,1652.04,1652.04,1652.04,1652.04,0,0,1
"2002-03-12",1648.28,1648.28,1648.28,1648.28,1648.28,0,0,1
"2002-03-13",1632.46,1632.46,1632.46,1632.46,1632.46,0,0,1
"2002-03-14",1631,1631,1631,1631,1631,0,0,1
"2002-03-15",1649.5601,1649.5601,1649.5601,1649.5601,1649.5601,0,0,1
"2002-03-18",1648.73,1648.73,1648.73,1648.73,1648.73,0,0,1
"2002-03-19",1655.4399,1655.4399,1655.4399,1655.4399,1655.4399,0,0,1
"2002-03-20",1629.4301,1629.4301,1629.4301,1629.4301,1629.4301,0,0,1
"2002-03-21",1631.9301,1631.9301,1631.9301,1631.9301,1631.9301,0,0,1
"2002-03-22",1625.02,1625.02,1625.02,1625.02,1625.02,0,0,1
"2002-03-25",1601.21,1601.21,1601.21,1601.21,1601.21,0,0,1
"2002-03-26",1610.8101,1610.8101,1610.8101,1610.8101,1610.8101,0,0,1
"2002-03-27",1619.45,1619.45,1619.45,1619.45,1619.45,0,0,1
"2002-03-28",1623.4301,1623.4301,1623.4301,1623.4301,1623.4301,0,0,1
"2002-04-01",1622.23,1622.23,1622.23,1622.23,1622.23,0,0,1
"2002-04-02",1608.39,1608.39,1608.39,1608.39,1608.39,0,0,1
"2002-04-03",1592.6,1592.6,1592.6,1592.6,1592.6,0,0,1
"2002-04-04",1593.96,1593.96,1593.96,1593.96,1593.96,0,0,1
"2002-04-05",1588.88,1588.88,1588.88,1588.88,1588.88,0,0,1
"2002-04-08",1592.88,1592.88,1592.88,1592.88,1592.88,0,0,1
"2002-04-09",1582.36,1582.36,1582.36,1582.36,1582.36,0,0,1
"2002-04-10",1600.36,1600.36,1600.36,1600.36,1600.36,0,0,1
"2002-04-11",1562.52,1562.52,1562.52,1562.52,1562.52,0,0,1
"2002-04-12",1572.89,1572.89,1572.89,1572.89,1572.89,0,0,1
"2002-04-15",1560.92,1560.92,1560.92,1560.92,1560.92,0,0,1
"2002-04-16",1597.48,1597.48,1597.48,1597.48,1597.48,0,0,1
"2002-04-17",1594.3199,1594.3199,1594.3199,1594.3199,1594.3199,0,0,1
"2002-04-18",1592.08,1592.08,1592.08,1592.08,1592.08,0,0,1
"2002-04-19",1593.0699,1593.0699,1593.0699,1593.0699,1593.0699,0,0,1
"2002-04-22",1568.52,1568.52,1568.52,1568.52,1568.52,0,0,1
