"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2001-08-29",3832.6001,3832.6001,3832.6001,3832.6001,3832.6001,0,0,1
"2001-08-30",3737.1201,3737.1201,3737.1201,3737.1201,3737.1201,0,0,1
"2001-08-31",3743.97,3743.97,3743.97,3743.97,3743.97,0,0,1
"2001-09-03",3691.77,3691.77,3691.77,3691.77,3691.77,0,0,1
"2001-09-04",3736.8201,3736.8201,3736.8201,3736.8201,3736.8201,0,0,1
"2001-09-05",3637.1699,3637.1699,3637.1699,3637.1699,3637.1699,0,0,1
"2001-09-06",3550.26,3550.26,3550.26,3550.26,3550.26,0,0,1
"2001-09-07",3456.52,3456.52,3456.52,3456.52,3456.52,0,0,1
"2001-09-10",3440.6499,3440.6499,3440.6499,3440.6499,3440.6499,0,0,1
"2001-09-11",3220.27,3220.27,3220.27,3220.27,3220.27,0,0,1
"2001-09-12",3260.8999,3260.8999,3260.8999,3260.8999,3260.8999,0,0,1
"2001-09-13",3293.8201,3293.8201,3293.8201,3293.8201,3293.8201,0,0,1
"2001-09-14",3091.21,3091.21,3091.21,3091.21,3091.21,0,0,1
"2001-09-17",3204.96,3204.96,3204.96,3204.96,3204.96,0,0,1
"2001-09-18",3189.9399,3189.9399,3189.9399,3189.9399,3189.9399,0,0,1
"2001-09-19",3105.1299,3105.1299,3105.1299,3105.1299,3105.1299,0,0,1
"2001-09-20",2967.9399,2967.9399,2967.9399,2967.9399,2967.9399,0,0,1
"2001-09-21",2877.6799,2877.6799,2877.6799,2877.6799,2877.6799,0,0,1
"2001-09-24",3068.05,3068.05,3068.05,3068.05,3068.05,0,0,1
"2001-09-25",3095.75,3095.75,3095.75,3095.75,3095.75,0,0,1
"2001-09-26",3155.6799,3155.6799,3155.6799,3155.6799,3155.6799,0,0,1
"2001-09-27",3198.78,3198.78,3198.78,3198.78,3198.78,0,0,1
"2001-09-28",3296.6599,3296.6599,3296.6599,3296.6599,3296.6599,0,0,1
"2001-10-01",3208.3101,3208.3101,3208.3101,3208.3101,3208.3101,0,0,1
"2001-10-02",3265.24,3265.24,3265.24,3265.24,3265.24,0,0,1
"2001-10-03",3264.5901,3264.5901,3264.5901,3264.5901,3264.5901,0,0,1
"2001-10-04",3394.6899,3394.6899,3394.6899,3394.6899,3394.6899,0,0,1
"2001-10-05",3348.02,3348.02,3348.02,3348.02,3348.02,0,0,1
"2001-10-08",3353.4099,3353.4099,3353.4099,3353.4099,3353.4099,0,0,1
"2001-10-09",3357.1201,3357.1201,3357.1201,3357.1201,3357.1201,0,0,1
"2001-10-10",3468.3201,3468.3201,3468.3201,3468.3201,3468.3201,0,0,1
"2001-10-11",3510.55,3510.55,3510.55,3510.55,3510.55,0,0,1
"2001-10-12",3498.6599,3498.6599,3498.6599,3498.6599,3498.6599,0,0,1
