"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2002-04-26",289.88,289.88,289.88,289.88,289.88,0,0,1
"2002-04-29",288.99,288.99,288.99,288.99,288.99,0,0,1
"2002-04-30",290.64,290.64,290.64,290.64,290.64,0,0,1
"2002-05-01",0,0,0,0,0,0,0,1
"2002-05-02",289.95,289.95,289.95,289.95,289.95,0,0,1
"2002-05-03",287.54,287.54,287.54,287.54,287.54,0,0,1
"2002-05-06",286.92,286.92,286.92,286.92,286.92,0,0,1
"2002-05-07",283.86,283.86,283.86,283.86,283.86,0,0,1
"2002-05-08",289.97,289.97,289.97,289.97,289.97,0,0,1
"2002-05-09",289,289,289,289,289,0,0,1
"2002-05-10",285.84,285.84,285.84,285.84,285.84,0,0,1
"2002-05-13",288.02,288.02,288.02,288.02,288.02,0,0,1
"2002-05-14",291.78,291.78,291.78,291.78,291.78,0,0,1
"2002-05-15",292.89,292.89,292.89,292.89,292.89,0,0,1
"2002-05-16",291.62,291.62,291.62,291.62,291.62,0,0,1
"2002-05-17",289.26,289.26,289.26,289.26,289.26,0,0,1
"2002-05-20",287.58,287.58,287.58,287.58,287.58,0,0,1
"2002-05-21",287.48,287.48,287.48,287.48,287.48,0,0,1
"2002-05-22",283.35,283.35,283.35,283.35,283.35,0,0,1
"2002-05-23",283.98,283.98,283.98,283.98,283.98,0,0,1
"2002-05-24",284.28,284.28,284.28,284.28,284.28,0,0,1
"2002-05-27",284.4,284.4,284.4,284.4,284.4,0,0,1
"2002-05-28",281.3,281.3,281.3,281.3,281.3,0,0,1
"2002-05-29",280.22,280.22,280.22,280.22,280.22,0,0,1
"2002-05-30",276.59,276.59,276.59,276.59,276.59,0,0,1
"2002-05-31",279.03,279.03,279.03,279.03,279.03,0,0,1
"2002-06-03",277,277,277,277,277,0,0,1
"2002-06-04",271.82,271.82,271.82,271.82,271.82,0,0,1
"2002-06-05",270.24,270.24,270.24,270.24,270.24,0,0,1
"2002-06-06",269.03,269.03,269.03,269.03,269.03,0,0,1
"2002-06-07",265.62,265.62,265.62,265.62,265.62,0,0,1
"2002-06-10",266.18,266.18,266.18,266.18,266.18,0,0,1
"2002-06-11",268.74,268.74,268.74,268.74,268.74,0,0,1
"2002-06-12",262.94,262.94,262.94,262.94,262.94,0,0,1
"2002-06-13",259.87,259.87,259.87,259.87,259.87,0,0,1
"2002-06-14",253.3,253.3,253.3,253.3,253.3,0,0,1
"2002-06-17",261.54,261.54,261.54,261.54,261.54,0,0,1
"2002-06-18",259.93,259.93,259.93,259.93,259.93,0,0,1
"2002-06-19",255.63,255.63,255.63,255.63,255.63,0,0,1
"2002-06-20",250.14,250.14,250.14,250.14,250.14,0,0,1
"2002-06-21",249.15,249.15,249.15,249.15,249.15,0,0,1
"2002-06-24",243.26,243.26,243.26,243.26,243.26,0,0,1
"2002-06-25",248.47,248.47,248.47,248.47,248.47,0,0,1
"2002-06-26",243.66,243.66,243.66,243.66,243.66,0,0,1
"2002-06-27",246.44,246.44,246.44,246.44,246.44,0,0,1
"2002-06-28",254.04,254.04,254.04,254.04,254.04,0,0,1
