"Index","sp500","hsi","eu50","eu600","dax","cac","asx","shanghai","EURUSD","GBPUSD","USDJPY","Gold","Brent"
"2001-08-30",-0.0170673745835199,0.00649169491775397,-0.0252281620786029,-0.0196961901985858,-0.0272482037972889,-0.0274722842502353,-0.0073549748145795,-0.00428785141088329,0.00777106740043935,0.00426117483259762,-0.00693142363426031,0.00619197024792098,-0.0167240690010113
"2001-08-31",0.00403665580524101,-0.0200978192557391,0.0018312576971272,0.00353375096386137,0.00497944630004691,-0.00309264608022782,-0.0145006218423784,-0.00299044618382303,-0.00601456239289232,-0.0015099522429594,-0.00436718591136826,-0.00363769044282436,0.0121906271604038
"2001-09-03",-0.000279737190919322,-0.0170822026901171,-0.0140405279207255,-0.00996007356003828,-0.018297987635212,-0.012779184500736,8.71606183975723e-05,-0.00928326496093342,-0.00450723568517039,-0.000893317358839964,-0.000420928574636926,-0.00511510066677038,0.00491030259502052
"2001-09-04",-0.000279815465712189,0.021255438483003,0.0121289912831376,0.0167567850849291,0.0221320982181731,0.00949759078504045,0.00428638643549254,0.0245532037747582,-0.0244254600901493,-0.00869990987554591,0.00596064393357335,-0.00514139950041854,-0.0106061600294112
"2001-09-05",-0.000855492882005195,-0.0175476241699197,-0.0270291298863769,-0.0135722847990646,-0.0312071323682791,-0.0221558938859176,0.000594913507209463,0.00316836831526521,0.000902832698725082,0.0106916003797532,0.010159980800674,0.00147167061145625,0.00228223758246622
"2001-09-06",-0.0226083821815769,-0.0258091213092967,-0.0241850389966974,-0.0242386314342049,-0.0348119732664796,-0.0200639968430696,-0.00706259774443312,-0.00359748591054226,0.00954259276059276,-0.00130445248664268,0.00264791218015465,0.0036697288889624,0.0240251795869898
"2001-09-07",-0.018805705805238,-0.0266181786223545,-0.0267585376557117,-0.0259782222204424,-0.0301291991343737,-0.0151201395085474,-0.00905635821741633,-0.028727415860382,0.0110007220822322,0.00363449740046367,-0.0073819436948316,0.000366233294699591,0.0267170511387643
"2001-09-10",0.00621885638101897,-0.00172332105356393,-0.00460192462641485,-0.00839305628724963,-0.0128799332427562,-0.00676858242465105,0.00297978494471138,0.0260207019633194,-0.00520747949825528,-0.00164417383069239,0.0063070748493545,-0.00550763279511826,-0.0087051692273309
"2001-09-11",-0.00982397473781906,0.00491156531338901,-0.06619517098724,-0.0641321288199644,-0.0887467503331807,-0.0767814421500813,-0.000125550066392558,0.00389801437797594,0.0159791818034864,0.0116561764147445,-0.0128217558705482,0,0.0569964901865972
"2001-09-12",-0.00992144354019082,-0.0928536791143662,0.0125379932578567,0.0184520362073675,0.0143276545971432,0.0133370332578412,-0.0420288635330196,-0.00601446658356782,-0.00856395220879667,-0.00584518757953881,0.00100502521022409,0.0225710346357022,-0.0364441172332759
"2001-09-13",-0.0100208658183531,0.00793064784082098,0.0100448155829513,0.00863476068631861,0.0131079605710846,-9.60921955651861e-05,0.00590788705377572,-0.00687604873651796,0.00538847732581896,0.00238297985106796,-0.00663505562711215,0.0220728078409625,0.00285103543083931
"2001-09-14",-0.010122300894804,0.00897189106001165,-0.0634854157930318,-0.0515519019050666,-0.0649987931013181,-0.0509569249199258,-0.00812991355081842,-0.0117690735315934,0.0102565001671891,0.00101954129477176,-0.0134036618164144,0.0215961022888813,0.0462449859056812
"2001-09-17",-0.010225810518608,-0.0354297026285326,0.0361370097750541,0.0217463072654855,0.0284000589752904,0.0267446809968901,-0.0464306522799956,-0.0187483114239285,0.00335952632420173,-0.00456202064484208,0.00630003786461608,-0.00137931056350538,-0.0363298905134849
"2001-09-18",-0.00581536864386662,-0.00122929594457638,-0.00469753330164746,-0.00940023102588908,-0.00941941158356087,-0.0113522160770612,0.0183891308697225,0.00782197729001325,0.00248527871181596,0.00231765611583727,-0.00536103058233706,-0.00588338779609914,-0.0398974748743994
"2001-09-19",-0.0161863850345505,0.0265306906316023,-0.0269465262347401,-0.0246084280170965,-0.0371674689632244,-0.0206663579736483,0.00820621512823345,0.0132953596368376,0.00366261316475363,0.000612599141099306,0.0019605342340776,0.0117323637000642,-0.0354580904003807
"2001-09-20",-0.0315450067562646,-0.0254483148730307,-0.0451874744851757,-0.0394063931034749,-0.059147592336847,-0.0395352628607232,-0.0172154988255699,-0.00234873294305129,-0.00463437807413617,-0.00293025525693643,-0.0120798213390716,-0.00861331767811495,-0.0153142349730425
"2001-09-21",-0.0192155682336928,-0.0420592892143362,-0.0308836965661139,-0.0268924471989929,-0.00590766379943749,-0.0230855670985107,-0.0138025908293075,-0.00628886103492766,-0.013814327478197,-0.00691665144006698,0.00644359804970531,0.00998458974763673,-0.0186921330121525
"2001-09-24",0.0382460906997562,0.0384597116041948,0.0640578014264167,0.050423904284126,0.0642854760382789,0.0554618729769898,-0.00527493833379515,-0.0066951758237799,0.00349880085767317,0.00527741878012788,0.00674265346309315,-0.00756537308476429,-0.144371607177388
"2001-09-25",0.00876600666680974,-0.00805002158530876,0.00898802247879999,0.0120193754657839,-0.00734856639694502,0.0107315328064768,0.0130122268052755,-0.00060024882786935,0.00706947313186835,-0.000136724090997921,0.000170111423392347,0.00275767151666123,0.0162165715892453
"2001-09-26",-0.00486444003080198,0.0174035236138238,0.0191737688710937,0.0123881029375249,0.0212730919411428,0.0184508707425784,0.00970861554574431,-0.0146393465071012,0.000650054194072171,0.00491032835489936,0.002208819180266,0.00959239969143951,0.0273265130453705
